Title,Year,Rating
The Shawshank Redemption,1994,9.3
The Godfather,1972,9.2
The Dark Knight,2008,9
The Godfather: Part II,1974,9
12 Angry Men,1957,9
The Lord of the Rings: The Return of the King,2003,8.9
Pulp Fiction,1994,8.9
Schindler's List,1993,8.9
Inception,2010,8.8
Fight Club,1999,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Forrest Gump,1994,8.8
"Il buono, il brutto, il cattivo",1966,8.8
The Lord of the Rings: The Two Towers,2002,8.7
The Matrix,1999,8.7
Goodfellas,1990,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
One Flew Over the Cuckoo's Nest,1975,8.7
Hamilton,2020,8.6
Gisaengchung,2019,8.6
Soorarai Pottru,2020,8.6
Interstellar,2014,8.6
Cidade de Deus,2002,8.6
Sen to Chihiro no kamikakushi,2001,8.6
Saving Private Ryan,1998,8.6
The Green Mile,1999,8.6
La vita è bella,1997,8.6
Se7en,1995,8.6
The Silence of the Lambs,1991,8.6
Star Wars,1977,8.6
Seppuku,1962,8.6
Shichinin no samurai,1954,8.6
It's a Wonderful Life,1946,8.6
Joker,2019,8.5
Whiplash,2014,8.5
The Intouchables,2011,8.5
The Prestige,2006,8.5
The Departed,2006,8.5
The Pianist,2002,8.5
Gladiator,2000,8.5
American History X,1998,8.5
The Usual Suspects,1995,8.5
Léon,1994,8.5
The Lion King,1994,8.5
Terminator 2: Judgment Day,1991,8.5
Nuovo Cinema Paradiso,1988,8.5
Hotaru no haka,1988,8.5
Back to the Future,1985,8.5
Once Upon a Time in the West,1968,8.5
Psycho,1960,8.5
Casablanca,1942,8.5
Modern Times,1936,8.5
City Lights,1931,8.5
Capharnaüm,2018,8.4
Ayla: The Daughter of War,2017,8.4
Vikram Vedha,2017,8.4
Kimi no na wa.,2016,8.4
Dangal,2016,8.4
Spider-Man: Into the Spider-Verse,2018,8.4
Avengers: Endgame,2019,8.4
Avengers: Infinity War,2018,8.4
Coco,2017,8.4
Django Unchained,2012,8.4
The Dark Knight Rises,2012,8.4
3 Idiots,2009,8.4
Taare Zameen Par,2007,8.4
WALL·E,2008,8.4
The Lives of Others,2006,8.4
Oldeuboi,2003,8.4
Memento,2000,8.4
Mononoke-hime,1997,8.4
Once Upon a Time in America,1984,8.4
Raiders of the Lost Ark,1981,8.4
The Shining,1980,8.4
Apocalypse Now,1979,8.4
Alien,1979,8.4
Anand,1971,8.4
Tengoku to jigoku,1963,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
Witness for the Prosecution,1957,8.4
Paths of Glory,1957,8.4
Rear Window,1954,8.4
Sunset Blvd.,1950,8.4
The Great Dictator,1940,8.4
1917,2019,8.3
Tumbbad,2018,8.3
Andhadhun,2018,8.3
Drishyam,2013,8.3
Jagten,2012,8.3
Jodaeiye Nader az Simin,2011,8.3
Incendies,2010,8.3
Miracle in cell NO.7,2019,8.3
Babam ve Oglum,2005,8.3
Inglourious Basterds,2009,8.3
Eternal Sunshine of the Spotless Mind,2004,8.3
Amélie,2001,8.3
Snatch,2000,8.3
Requiem for a Dream,2000,8.3
American Beauty,1999,8.3
Good Will Hunting,1997,8.3
Bacheha-Ye aseman,1997,8.3
Toy Story,1995,8.3
Braveheart,1995,8.3
Reservoir Dogs,1992,8.3
Full Metal Jacket,1987,8.3
Idi i smotri,1985,8.3
Aliens,1986,8.3
Amadeus,1984,8.3
Scarface,1983,8.3
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Das Boot,1981,8.3
Taxi Driver,1976,8.3
The Sting,1973,8.3
A Clockwork Orange,1971,8.3
2001: A Space Odyssey,1968,8.3
Per qualche dollaro in più,1965,8.3
Lawrence of Arabia,1962,8.3
The Apartment,1960,8.3
North by Northwest,1959,8.3
Vertigo,1958,8.3
Singin' in the Rain,1952,8.3
Ikiru,1952,8.3
Ladri di biciclette,1948,8.3
